# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:52:42.520648+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":5000.0,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626_2"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626_2"",""sky_scan_count"":100,""calibration_scan_count"":100}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1419273480.469,1419.273480469,1.782265619961e+00,26
1419278460.938,1419.278460938,1.652398307441e+00,25
1419283441.406,1419.283441406,1.624911957998e+00,26
1419288519.531,1419.288519531,1.770148867401e+00,26
1419293500.000,1419.293500000,1.647700446960e+00,25
1419298480.469,1419.298480469,1.627433990285e+00,26
1419303460.938,1419.303460938,1.796573578871e+00,25
1419308441.406,1419.308441406,1.687560906711e+00,26
1419313519.531,1419.313519531,1.605001488381e+00,26
1419318500.000,1419.318500000,1.738835390211e+00,25
1419323480.469,1419.323480469,1.662999719618e+00,26
1419328460.938,1419.328460938,1.623282024600e+00,25
1419333441.406,1419.333441406,1.709550576896e+00,26
1419338519.531,1419.338519531,1.643153053342e+00,26
1419343500.000,1419.343500000,1.556328621928e+00,25
1419348480.469,1419.348480469,1.703701919692e+00,26
1419353460.938,1419.353460938,1.593820696982e+00,25
1419358441.406,1419.358441406,1.572881157676e+00,26
1419363519.531,1419.363519531,1.717834021599e+00,26
1419368500.000,1419.368500000,1.635820270995e+00,25
1419373480.469,1419.373480469,1.578463624633e+00,26
1419378460.938,1419.378460938,1.707162547831e+00,25
1419383441.406,1419.383441406,1.650381905020e+00,26
1419388519.531,1419.388519531,1.588079375777e+00,26
1419393500.000,1419.393500000,1.734595357574e+00,25
1419398480.469,1419.398480469,1.634857738715e+00,26
1419403460.938,1419.403460938,1.596575484576e+00,25
1419408441.406,1419.408441406,1.757947725811e+00,26
1419413519.531,1419.413519531,1.679169688633e+00,26
1419418500.000,1419.418500000,1.574498839935e+00,25
1419423480.469,1419.423480469,1.778115671016e+00,26
1419428460.938,1419.428460938,1.595495431708e+00,25
1419433441.406,1419.433441406,1.556492802547e+00,26
1419438519.531,1419.438519531,1.688921567216e+00,26
1419443500.000,1419.443500000,1.595275936702e+00,25
1419448480.469,1419.448480469,1.574181069470e+00,26
1419453460.938,1419.453460938,1.743414847813e+00,25
1419458441.406,1419.458441406,1.639446100305e+00,26
1419463519.531,1419.463519531,1.623500687696e+00,26
1419468500.000,1419.468500000,1.786806767817e+00,25
1419473480.469,1419.473480469,1.646458811457e+00,26
1419478460.938,1419.478460938,1.605909270928e+00,25
1419483441.406,1419.483441406,1.798883847585e+00,26
1419488519.531,1419.488519531,1.704843958237e+00,26
1419493500.000,1419.493500000,1.636275421714e+00,25
1419498480.469,1419.498480469,1.783636722405e+00,26
1419503460.938,1419.503460938,1.666561405009e+00,25
1419508441.406,1419.508441406,1.655964533962e+00,26
1419513519.531,1419.513519531,1.729330650016e+00,26
1419518500.000,1419.518500000,1.662052132627e+00,25
1419523480.469,1419.523480469,1.571256015726e+00,26
1419528460.938,1419.528460938,1.688156945018e+00,25
1419533441.406,1419.533441406,1.615529737660e+00,26
1419538519.531,1419.538519531,1.607831854234e+00,26
1419543500.000,1419.543500000,1.802336579113e+00,25
1419548480.469,1419.548480469,1.691694305462e+00,26
1419553460.938,1419.553460938,1.678197202497e+00,25
1419558441.406,1419.558441406,1.885567172427e+00,26
1419563519.531,1419.563519531,1.711054863701e+00,26
1419568500.000,1419.568500000,1.640863290962e+00,25
1419573480.469,1419.573480469,1.808598485764e+00,26
1419578460.938,1419.578460938,1.681223440186e+00,25
1419583441.406,1419.583441406,1.631976101319e+00,26
1419588519.531,1419.588519531,1.829590912446e+00,26
1419593500.000,1419.593500000,1.744828530201e+00,25
1419598480.469,1419.598480469,1.702021384912e+00,26
1419603460.938,1419.603460938,1.831614498121e+00,25
1419608441.406,1419.608441406,1.775805943551e+00,26
1419613519.531,1419.613519531,1.600695304190e+00,26
1419618500.000,1419.618500000,1.748893361070e+00,25
1419623480.469,1419.623480469,1.633951112731e+00,26
1419628460.938,1419.628460938,1.656158277055e+00,25
1419633441.406,1419.633441406,1.807882792772e+00,26
1419638519.531,1419.638519531,1.696048067434e+00,26
1419643500.000,1419.643500000,1.697256757844e+00,25
1419648480.469,1419.648480469,1.839734647899e+00,26
1419653460.938,1419.653460938,1.719279906111e+00,25
1419658441.406,1419.658441406,1.653849935701e+00,26
1419663519.531,1419.663519531,1.825890443431e+00,26
1419668500.000,1419.668500000,1.714710116745e+00,25
1419673480.469,1419.673480469,1.638912600441e+00,26
1419678460.938,1419.678460938,1.831791324513e+00,25
1419683441.406,1419.683441406,1.782270296691e+00,26
1419688519.531,1419.688519531,1.679071582259e+00,26
1419693500.000,1419.693500000,1.834391883067e+00,25
1419698480.469,1419.698480469,1.770717186560e+00,26
1419703460.938,1419.703460938,1.571577458258e+00,25
1419708441.406,1419.708441406,1.725432244360e+00,26
1419713519.531,1419.713519531,1.642878607095e+00,26
1419718500.000,1419.718500000,1.641145051501e+00,25
1419723480.469,1419.723480469,1.790035010761e+00,26
1419728460.938,1419.728460938,1.674837648673e+00,25
1419733441.406,1419.733441406,1.644726379900e+00,26
1419738519.531,1419.738519531,1.842350556144e+00,26
1419743500.000,1419.743500000,1.709759559250e+00,25
1419748480.469,1419.748480469,1.685785776158e+00,26
1419753460.938,1419.753460938,1.834761680044e+00,25
1419758441.406,1419.758441406,1.710651003362e+00,26
1419763519.531,1419.763519531,1.661689440063e+00,26
1419768500.000,1419.768500000,1.841687739573e+00,25
1419773480.469,1419.773480469,1.738477831727e+00,26
1419778460.938,1419.778460938,1.643018100326e+00,25
1419783441.406,1419.783441406,1.835927347481e+00,26
1419788519.531,1419.788519531,1.683213420483e+00,26
1419793500.000,1419.793500000,1.615616644657e+00,25
1419798480.469,1419.798480469,1.780820093804e+00,26
1419803460.938,1419.803460938,1.653693677871e+00,25
1419808441.406,1419.808441406,1.629555281349e+00,26
1419813519.531,1419.813519531,1.866115400968e+00,26
1419818500.000,1419.818500000,1.752183578386e+00,25
1419823480.469,1419.823480469,1.677315361258e+00,26
1419828460.938,1419.828460938,1.884586018720e+00,25
1419833441.406,1419.833441406,1.759764254615e+00,26
1419838519.531,1419.838519531,1.683246633120e+00,26
1419843500.000,1419.843500000,1.861674267836e+00,25
1419848480.469,1419.848480469,1.755491749877e+00,26
1419853460.938,1419.853460938,1.659174293784e+00,25
1419858441.406,1419.858441406,1.869094922375e+00,26
1419863519.531,1419.863519531,1.735290383947e+00,26
1419868500.000,1419.868500000,1.719821586005e+00,25
1419873480.469,1419.873480469,1.850838934766e+00,26
1419878460.938,1419.878460938,1.793303924429e+00,25
1419883441.406,1419.883441406,1.634342413731e+00,26
1419888519.531,1419.888519531,1.791795693710e+00,26
1419893500.000,1419.893500000,1.665888055879e+00,25
1419898480.469,1419.898480469,1.644158381430e+00,26
1419903460.938,1419.903460938,1.847116695908e+00,25
1419908441.406,1419.908441406,1.719973039713e+00,26
1419913519.531,1419.913519531,1.709219833900e+00,26
1419918500.000,1419.918500000,1.878675327978e+00,25
1419923480.469,1419.923480469,1.831553185482e+00,26
1419928460.938,1419.928460938,1.719294959003e+00,25
1419933441.406,1419.933441406,1.859472937338e+00,26
1419938519.531,1419.938519531,1.774398792288e+00,26
1419943500.000,1419.943500000,1.741668488618e+00,25
1419948480.469,1419.948480469,1.872423709028e+00,26
1419953460.938,1419.953460938,1.755047278105e+00,25
1419958441.406,1419.958441406,1.695500303143e+00,26
1419963519.531,1419.963519531,1.871784019988e+00,26
1419968500.000,1419.968500000,1.773100614371e+00,25
1419973480.469,1419.973480469,1.645871074909e+00,26
1419978460.938,1419.978460938,1.799259753241e+00,25
1419983441.406,1419.983441406,1.721170149253e+00,26
1419988519.531,1419.988519531,1.726634190487e+00,26
1419993500.000,1419.993500000,1.844299638437e+00,25
1419998480.469,1419.998480469,1.712166493789e+00,26
1420003460.938,1420.003460938,1.773466531756e+00,25
1420008441.406,1420.008441406,2.102570547879e+00,26
1420013519.531,1420.013519531,1.963473162143e+00,26
1420018500.000,1420.018500000,1.857616107903e+00,25
1420023480.469,1420.023480469,2.047349765230e+00,26
1420028460.938,1420.028460938,1.936463571827e+00,25
1420033441.406,1420.033441406,1.855495979884e+00,26
1420038519.531,1420.038519531,2.032511485032e+00,26
1420043500.000,1420.043500000,1.889608526371e+00,25
