# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:33:11.509171+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":5000.0,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626"",""sky_scan_count"":25,""calibration_scan_count"":25}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1418613467.831,1418.613467831,1.642954286912e+00,17
1418618454.044,1418.618454044,1.502445002945e+00,17
1418623428.768,1418.623428768,1.396160478756e+00,17
1418628414.982,1418.628414982,1.480886561834e+00,17
1418633389.706,1418.633389706,1.430733239246e+00,17
1418638519.531,1418.638519531,1.408241601103e+00,18
1418643500.000,1418.643500000,1.586058503818e+00,16
1418648480.469,1418.648480469,1.488684116010e+00,18
1418653460.938,1418.653460938,1.477673881873e+00,16
1418658441.406,1418.658441406,1.595761807156e+00,18
1418663571.232,1418.663571232,1.460540942122e+00,17
1418668545.956,1418.668545956,1.480447748218e+00,17
1418673532.169,1418.673532169,1.550838431781e+00,17
1418678506.893,1418.678506893,1.466596862306e+00,17
1418683493.107,1418.683493107,1.438913135075e+00,17
1418688467.831,1418.688467831,1.577814504696e+00,17
1418693454.044,1418.693454044,1.509130771641e+00,17
1418698428.768,1418.698428768,1.472561403269e+00,17
1418703414.982,1418.703414982,1.576298221218e+00,17
1418708389.706,1418.708389706,1.514201274343e+00,17
1418713519.531,1418.713519531,1.388766688897e+00,18
1418718500.000,1418.718500000,1.501411177731e+00,16
1418723480.469,1418.723480469,1.426403752710e+00,18
1418728460.938,1418.728460937,1.427242113259e+00,16
1418733441.406,1418.733441406,1.557928359411e+00,18
1418738571.232,1418.738571232,1.438275908481e+00,17
1418743545.956,1418.743545956,1.433258790117e+00,17
1418748532.169,1418.748532169,1.533984282986e+00,17
1418753506.893,1418.753506893,1.466590598950e+00,17
1418758493.107,1418.758493107,1.405126093630e+00,17
1418763467.831,1418.763467831,1.562694845751e+00,17
1418768454.044,1418.768454044,1.451355629755e+00,17
1418773428.768,1418.773428768,1.431966982986e+00,17
1418778414.982,1418.778414982,1.537928926826e+00,17
1418783389.706,1418.783389706,1.476015564160e+00,17
1418788519.531,1418.788519531,1.429913207885e+00,18
1418793500.000,1418.793500000,1.540910391406e+00,16
1418798480.469,1418.798480469,1.441655419808e+00,18
1418803460.938,1418.803460937,1.397760636473e+00,16
1418808441.406,1418.808441406,1.511879624840e+00,18
1418813571.232,1418.813571232,1.408595886675e+00,17
1418818545.956,1418.818545956,1.460345175592e+00,17
1418823532.169,1418.823532169,1.570585588979e+00,17
1418828506.893,1418.828506893,1.497941658472e+00,17
1418833493.107,1418.833493107,1.448724662413e+00,17
1418838467.831,1418.838467831,1.559606008084e+00,17
1418843454.044,1418.843454044,1.486959558773e+00,17
1418848428.768,1418.848428768,1.434706802890e+00,17
1418853414.982,1418.853414982,1.546058040534e+00,17
1418858389.706,1418.858389706,1.472235245054e+00,17
1418863519.531,1418.863519531,1.452268872987e+00,18
1418868500.000,1418.868500000,1.557525153109e+00,16
1418873480.469,1418.873480469,1.489456855661e+00,18
1418878460.938,1418.878460937,1.441075383691e+00,16
1418883441.406,1418.883441406,1.684100963384e+00,18
1418888571.232,1418.888571232,1.471715082229e+00,17
1418893545.956,1418.893545956,1.420918963917e+00,17
1418898532.169,1418.898532169,1.529995378324e+00,17
1418903506.893,1418.903506893,1.465140598038e+00,17
1418908493.107,1418.908493107,1.428825203053e+00,17
1418913467.831,1418.913467831,1.601664911573e+00,17
1418918454.044,1418.918454044,1.463732083931e+00,17
1418923428.768,1418.923428768,1.447641874950e+00,17
1418928414.982,1418.928414982,1.600397124960e+00,17
1418933389.706,1418.933389706,1.499060855329e+00,17
1418938519.531,1418.938519531,1.459100194361e+00,18
1418943500.000,1418.943500000,1.589939513681e+00,16
1418948480.469,1418.948480469,1.477373693650e+00,18
1418953460.938,1418.953460938,1.442963097152e+00,16
